user_id,game_type,reaction_time,accuracy,mistakes,completion_time,level_reached,stress_answer,frustration,historical_score,cognitive_score,label_stress
180,memory_pattern,296.3,0.3333,2,53.7,1,1,0,84.3,33.7,1
168,emotional_recognition,1112.2,0.9,1,41.7,9,3,0,84.5,62.7,0
27,emotional_recognition,1017.2,0.8,2,48.9,8,3,0,56.1,54.9,0
197,memory_pattern,445.5,0.5,2,33.9,2,3,0,82.8,44.2,1
46,reaction_speed,526.1,0.642,1,2104.5,1,2,0,73.8,0.0,1
75,reaction_speed,373.5,0.8662,0,1867.7,1,1,0,51.0,0.0,1
97,reaction_speed,660.4,0.7722,0,2641.5,1,3,1,89.3,0.0,2
192,focus_tracking,425.7,0.7,3,29.8,7,2,0,64.5,54.7,0
167,focus_tracking,559.7,0.7,3,32.3,7,3,0,75.6,53.2,1
93,memory_pattern,628.4,0.8333,1,52.1,5,2,0,85.2,62.5,1
28,focus_tracking,747.2,0.8,2,31.3,8,2,0,66.2,59.4,0
101,reaction_speed,578.6,0.4137,1,1735.9,1,2,0,82.0,0.0,1
158,memory_pattern,401.9,0.75,1,51.4,3,1,0,52.6,59.8,0
59,reaction_speed,399.5,0.6661,1,1598.2,1,1,0,90.1,0.0,1
30,emotional_recognition,659.4,1.0,0,49.7,10,2,0,92.7,74.4,0
6,decision_making,312.7,0.7,3,23.7,7,2,0,88.9,55.9,0
74,memory_pattern,644.4,0.6667,2,45.8,4,2,0,88.6,51.0,0
141,decision_making,474.0,0.7,3,31.6,7,3,0,87.5,54.1,1
192,focus_tracking,471.8,0.8,2,31.7,8,1,0,73.0,62.1,0
27,memory_pattern,290.2,0.6,2,45.0,3,2,0,65.1,50.6,0
85,memory_pattern,830.1,0.4286,4,68.6,3,3,0,98.5,28.6,1
181,emotional_recognition,413.5,0.4,6,30.8,4,1,0,76.3,30.8,1
127,memory_pattern,453.7,0.5714,3,44.3,4,1,0,99.5,45.3,0
167,reaction_speed,590.1,0.8188,0,2950.5,1,4,0,61.9,0.0,2
42,persistence_challenge,744.0,0.8,1,67.5,4,2,0,98.8,57.8,1
19,reaction_speed,413.7,0.7641,0,1654.9,1,3,0,93.2,0.0,2
119,decision_making,574.1,0.9,1,23.3,9,2,0,69.8,69.3,0
102,reaction_speed,527.9,0.6774,1,2639.6,1,4,0,60.7,0.0,2
153,persistence_challenge,381.7,0.6,2,48.2,3,2,0,90.4,49.4,1
160,reaction_speed,272.9,0.4992,1,818.8,1,3,0,69.2,0.0,1
70,focus_tracking,506.4,0.6,4,31.9,6,3,1,91.3,45.7,1
132,reaction_speed,431.9,0.6845,1,2159.5,1,2,0,93.9,0.0,1
171,persistence_challenge,440.8,0.2,4,82.1,1,2,0,60.8,17.4,1
42,persistence_challenge,563.6,0.4,3,75.9,2,2,0,98.2,30.8,1
60,focus_tracking,526.5,0.7,3,29.3,7,3,0,80.1,53.7,1
46,emotional_recognition,539.4,0.6,4,41.9,6,3,0,69.8,44.4,1
42,decision_making,499.1,0.6,4,31.2,6,3,0,112.1,45.9,1
79,persistence_challenge,225.7,0.6,2,77.4,3,3,1,104.0,48.0,1
198,persistence_challenge,362.9,0.4,3,75.2,2,3,0,68.8,32.8,1
35,focus_tracking,332.7,0.8,2,33.6,8,2,0,55.7,63.3,0
139,decision_making,454.3,0.6,4,30.5,6,2,0,73.1,46.4,0
30,decision_making,526.4,0.9,1,19.9,9,2,0,63.9,69.7,0
47,reaction_speed,480.9,0.5433,2,2404.3,1,2,0,89.4,0.0,1
174,reaction_speed,339.1,0.7948,0,1356.3,1,2,0,70.1,0.0,1
182,memory_pattern,807.8,0.6667,1,42.7,2,1,0,92.6,51.7,1
134,decision_making,326.5,0.9,1,26.2,9,3,0,92.6,71.7,0
35,decision_making,1041.2,0.8,2,24.8,8,2,0,76.6,56.6,0
189,persistence_challenge,236.0,0.2,4,39.1,1,2,0,86.3,23.7,1
102,emotional_recognition,527.6,0.8,2,58.2,8,2,0,75.3,58.9,0
152,emotional_recognition,316.6,0.7,3,54.2,7,2,0,95.0,53.4,0
61,persistence_challenge,327.1,0.6,2,66.9,3,1,0,79.6,48.0,0
169,persistence_challenge,606.6,0.4,3,93.7,2,3,1,95.0,28.6,2
184,focus_tracking,385.6,0.7,3,26.9,7,2,0,85.1,55.1,0
151,emotional_recognition,328.2,0.5,5,39.3,5,2,0,76.1,38.8,1
114,memory_pattern,332.7,0.625,3,53.0,5,2,0,38.7,48.9,0
189,emotional_recognition,359.5,1.0,0,64.4,10,3,0,86.5,76.0,0
147,memory_pattern,548.1,0.4,3,57.2,2,2,0,87.3,32.8,1
114,reaction_speed,546.4,0.7352,1,2732.2,1,3,0,56.4,0.0,1
15,focus_tracking,245.3,0.6,4,41.6,6,3,0,89.9,47.4,0
24,emotional_recognition,874.4,0.9,1,45.4,9,2,0,66.6,64.7,0
131,focus_tracking,506.0,0.8,2,18.9,8,3,0,60.1,61.9,0
159,persistence_challenge,344.2,0.4,3,71.0,2,3,0,67.6,33.5,1
116,persistence_challenge,764.3,0.6,2,57.9,3,2,0,38.1,44.6,0
103,decision_making,603.7,0.7,3,20.7,7,2,0,81.7,53.0,0
86,reaction_speed,430.2,0.6397,1,2150.9,1,2,0,60.6,0.0,2
45,emotional_recognition,422.5,0.8,2,33.1,8,3,0,92.2,62.5,1
193,decision_making,352.4,0.6,4,26.6,6,3,0,82.7,47.5,1
139,focus_tracking,382.8,0.5,5,41.6,5,2,0,89.3,38.0,1
4,decision_making,427.9,0.7,3,32.4,7,2,0,98.8,54.5,1
158,persistence_challenge,555.4,0.4,3,69.3,2,3,0,99.4,31.5,1
15,focus_tracking,219.0,0.7,3,24.0,7,1,0,73.9,56.8,0
173,reaction_speed,512.8,0.8378,0,1538.4,1,2,0,53.4,0.0,1
89,reaction_speed,569.3,0.8577,0,2846.5,1,3,0,96.7,0.0,2
30,reaction_speed,812.8,0.6149,1,2438.4,1,3,0,91.0,0.0,2
5,memory_pattern,463.4,0.8333,1,58.6,5,1,0,92.9,63.5,0
112,focus_tracking,503.7,0.6,4,30.3,6,4,1,71.8,45.9,1
96,reaction_speed,417.6,0.77,0,1252.9,1,2,0,87.0,0.0,2
105,emotional_recognition,464.0,0.8,2,30.9,8,2,0,89.0,62.3,0
